square_footage_id,institutions_id,abbreviation,year_of_measure,square_footage
1,1,CUNYCC,2005,6680588
2,1,CUNYCC,2006,6786282
3,1,CUNYCC,2007,6807588
4,1,CUNYCC,2008,6702937
5,1,CUNYCC,2009,6909669
6,1,CUNYCC,2010,7037290
7,1,CUNYCC,2011,7111556
8,1,CUNYCC,2012,7578942
9,1,CUNYCC,2013,7545107
10,1,CUNYCC,2014,7548300
11,1,CUNYCC,2015,7591644
12,1,CUNYCC,2016,7571445
13,1,CUNYCC,2017,7616215
14,1,CUNYCC,2018,7686359
15,1,CUNYCC,2019,7746814
16,1,CUNYCC,2020,7746814
17,2,CUNYSR,2005,18874574
18,2,CUNYSR,2006,19067362
19,2,CUNYSR,2007,18949986
20,2,CUNYSR,2008,19028539
21,2,CUNYSR,2009,18924476
22,2,CUNYSR,2010,19051514
23,2,CUNYSR,2011,19423333
24,2,CUNYSR,2012,20057696
25,2,CUNYSR,2013,20076326
26,2,CUNYSR,2014,20495062
27,2,CUNYSR,2015,20497476
28,2,CUNYSR,2016,20573719
29,2,CUNYSR,2017,20627001
30,2,CUNYSR,2018,20777790
31,2,CUNYSR,2019,21278799
32,2,CUNYSR,2020,21278799
33,3,CUNY,2005,25882043
34,3,CUNY,2006,26304917
35,3,CUNY,2007,26214918
36,3,CUNY,2008,26123678
37,3,CUNY,2009,25834145
38,3,CUNY,2010,26088804
39,3,CUNY,2011,26534889
40,3,CUNY,2012,27636638
41,3,CUNY,2013,27621433
42,3,CUNY,2014,28043362
43,3,CUNY,2015,28089120
44,3,CUNY,2016,28145164
45,3,CUNY,2017,28243216
46,3,CUNY,2018,28464149
47,3,CUNY,2019,29025613
48,3,CUNY,2020,29025613
49,4,GC,2005,585620
50,4,GC,2006,592662
51,4,GC,2007,611751
52,4,GC,2008,614962
53,4,GC,2009,614962
54,4,GC,2010,614962
55,4,GC,2011,616781
56,4,GC,2012,616781
57,4,GC,2013,616781
58,4,GC,2014,616781
59,4,GC,2015,614953
60,4,GC,2016,614953
61,4,GC,2017,614953
62,4,GC,2018,614953
63,4,GC,2019,614953
64,4,GC,2020,614953
65,6,SPS,2005,0
66,6,SPS,2006,0
67,6,SPS,2007,0
68,6,SPS,2008,0
69,6,SPS,2009,0
70,6,SPS,2010,0
71,6,SPS,2011,0
72,6,SPS,2012,0
73,6,SPS,2013,71667
74,6,SPS,2014,71667
75,6,SPS,2015,71667
76,6,SPS,2016,93730
77,6,SPS,2017,93730
78,6,SPS,2018,71667
79,6,SPS,2019,71667
80,6,SPS,2020,71667
81,7,MHC,2005,0
82,7,MHC,2006,24714
83,7,MHC,2007,24096
84,7,MHC,2008,24096
85,7,MHC,2009,24096
86,7,MHC,2010,24096
87,7,MHC,2011,24096
88,7,MHC,2012,24096
89,7,MHC,2013,24096
90,7,MHC,2014,24096
91,7,MHC,2015,24096
92,7,MHC,2016,24096
93,7,MHC,2017,24096
94,7,MHC,2018,24096
95,7,MHC,2019,24096
96,7,MHC,2020,24096
97,8,NYCCT,2005,1103126
98,8,NYCCT,2006,1152118
99,8,NYCCT,2007,1153019
100,8,NYCCT,2008,1154704
101,8,NYCCT,2009,1154704
102,8,NYCCT,2010,1161402
103,8,NYCCT,2011,1152248
104,8,NYCCT,2012,1144784
105,8,NYCCT,2013,1084437
106,8,NYCCT,2014,1084424
107,8,NYCCT,2015,1084379
108,8,NYCCT,2016,1084379
109,8,NYCCT,2017,1084379
110,8,NYCCT,2018,1450310
111,8,NYCCT,2019,1425163
112,8,NYCCT,2020,1425163
113,9,CCNY,2005,2969051
114,9,CCNY,2006,2951273
115,9,CCNY,2007,3000311
116,9,CCNY,2008,3033150
117,9,CCNY,2009,2993150
118,9,CCNY,2010,2989918
119,9,CCNY,2011,2993602
120,9,CCNY,2012,2993602
121,9,CCNY,2013,2992897
122,9,CCNY,2014,3394357
123,9,CCNY,2015,3382664
124,9,CCNY,2016,3382664
125,9,CCNY,2017,3382664
126,9,CCNY,2018,3382664
127,9,CCNY,2019,3382664
128,9,CCNY,2020,3382664
129,10,HC,2005,2607443
130,10,HC,2006,2602115
131,10,HC,2007,2596144
132,10,HC,2008,2610390
133,10,HC,2009,2411689
134,10,HC,2010,2410001
135,10,HC,2011,2461395
136,10,HC,2012,2460695
137,10,HC,2013,2540529
138,10,HC,2014,2561289
139,10,HC,2015,2554466
140,10,HC,2016,2585807
141,10,HC,2017,2585807
142,10,HC,2018,2589985
143,10,HC,2019,2625424
144,10,HC,2020,2625424
145,11,BC,2005,2274853
146,11,BC,2006,2271419
147,11,BC,2007,2265769
148,11,BC,2008,2265689
149,11,BC,2009,2410960
150,11,BC,2010,2404205
151,11,BC,2011,2402423
152,11,BC,2012,2402423
153,11,BC,2013,2368535
154,11,BC,2014,2366357
155,11,BC,2015,2431042
156,11,BC,2016,2431042
157,11,BC,2017,2431042
158,11,BC,2018,2478890
159,11,BC,2019,2478758
160,11,BC,2020,2478758
161,12,QC,2005,2422319
162,12,QC,2006,2444919
163,12,QC,2007,2427149
164,12,QC,2008,2430256
165,12,QC,2009,2643824
166,12,QC,2010,2643824
167,12,QC,2011,2636879
168,12,QC,2012,2638574
169,12,QC,2013,2600550
170,12,QC,2014,2600550
171,12,QC,2015,2548536
172,12,QC,2016,2548536
173,12,QC,2017,2548536
174,12,QC,2018,2538952
175,12,QC,2019,2535177
176,12,QC,2020,2535177
177,13,JJC,2005,976976
178,13,JJC,2006,964140
179,13,JJC,2007,775678
180,13,JJC,2008,800856
181,13,JJC,2009,800856
182,13,JJC,2010,800856
183,13,JJC,2011,1138923
184,13,JJC,2012,1463371
185,13,JJC,2013,1463371
186,13,JJC,2014,1463371
187,13,JJC,2015,1463371
188,13,JJC,2016,1463371
189,13,JJC,2017,1463371
190,13,JJC,2018,1461292
191,13,JJC,2019,1461292
192,13,JJC,2020,1461292
193,14,CSI,2005,1354982
194,14,CSI,2006,1351012
195,14,CSI,2007,1351484
196,14,CSI,2008,1351484
197,14,CSI,2009,1351484
198,14,CSI,2010,1351484
199,14,CSI,2011,1351484
200,14,CSI,2012,1367875
201,14,CSI,2013,1367875
202,14,CSI,2014,1367875
203,14,CSI,2015,1367886
204,14,CSI,2016,1367886
205,14,CSI,2017,1367886
206,14,CSI,2018,1386026
207,14,CSI,2019,1386026
208,14,CSI,2020,1386026
209,15,YORK,2005,924326
210,15,YORK,2006,935572
211,15,YORK,2007,932368
212,15,YORK,2008,931607
213,15,YORK,2009,931607
214,15,YORK,2010,931607
215,15,YORK,2011,931607
216,15,YORK,2012,931607
217,15,YORK,2013,931585
218,15,YORK,2014,931585
219,15,YORK,2015,931585
220,15,YORK,2016,931585
221,15,YORK,2017,931585
222,15,YORK,2018,931585
223,15,YORK,2019,931585
224,15,YORK,2020,931585
225,16,LC,2005,1510760
226,16,LC,2006,1485821
227,16,LC,2007,1518034
228,16,LC,2008,1521027
229,16,LC,2009,1521027
230,16,LC,2010,1521027
231,16,LC,2011,1521027
232,16,LC,2012,1606421
233,16,LC,2013,1606536
234,16,LC,2014,1603507
235,16,LC,2015,1598193
236,16,LC,2016,1598193
237,16,LC,2017,1598193
238,16,LC,2018,1598193
239,16,LC,2019,1598193
240,16,LC,2020,1598193
241,17,BCC,2005,1208978
242,17,BCC,2006,1203341
243,17,BCC,2007,1203402
244,17,BCC,2008,1204700
245,17,BCC,2009,1218027
246,17,BCC,2010,1217515
247,17,BCC,2011,1216515
248,17,BCC,2012,1319398
249,17,BCC,2013,1285703
250,17,BCC,2014,1283893
251,17,BCC,2015,1282935
252,17,BCC,2016,1287727
253,17,BCC,2017,1287727
254,17,BCC,2018,1331902
255,17,BCC,2019,1336607
256,17,BCC,2020,1336607
257,18,QCC,2005,915229
258,18,QCC,2006,915030
259,18,QCC,2007,919196
260,18,QCC,2008,920150
261,18,QCC,2009,927903
262,18,QCC,2010,927903
263,18,QCC,2011,927903
264,18,QCC,2012,927903
265,18,QCC,2013,927903
266,18,QCC,2014,927333
267,18,QCC,2015,927333
268,18,QCC,2016,927333
269,18,QCC,2017,927333
270,18,QCC,2018,938855
271,18,QCC,2019,938855
272,18,QCC,2020,938855
273,19,KBCC,2005,1304535
274,19,KBCC,2006,1306003
275,19,KBCC,2007,1307561
276,19,KBCC,2008,1308247
277,19,KBCC,2009,1308247
278,19,KBCC,2010,1308247
279,19,KBCC,2011,1308247
280,19,KBCC,2012,1308247
281,19,KBCC,2013,1308247
282,19,KBCC,2014,1308247
283,19,KBCC,2015,1306882
284,19,KBCC,2016,1306882
285,19,KBCC,2017,1306882
286,19,KBCC,2018,1305774
287,19,KBCC,2019,1305774
288,19,KBCC,2020,1305774
289,20,BMCC,2005,887536
290,20,BMCC,2006,890740
291,20,BMCC,2007,905466
292,20,BMCC,2008,902466
293,20,BMCC,2009,939899
294,20,BMCC,2010,945845
295,20,BMCC,2011,945845
296,20,BMCC,2012,1294432
297,20,BMCC,2013,1294295
298,20,BMCC,2014,1286301
299,20,BMCC,2015,1328030
